epoch,train_loss,val_loss,mean_fg_dice,ema_fg_dice,lr,epoch_time_s
0,0.046883367002010345,-0.02226046472787857,0.0,0.0,0.01,314.7855327129364
1,-0.07455708086490631,-0.15903759002685547,0.4545942544937134,0.04545942693948746,0.009981998198678612,303.7294626235962
2,-0.14630255103111267,-0.2404969334602356,0.5469690561294556,0.09561039507389069,0.00996399278941777,303.93862748146057
3,-0.18252693116664886,-0.269557923078537,0.5522221326828003,0.14127156138420105,0.009945983764247315,303.901814699173
4,-0.23689229786396027,-0.3002837598323822,0.6479527950286865,0.19193968176841736,0.009927971115163414,303.5624530315399
5,-0.26559144258499146,-0.27934730052948,0.5224571824073792,0.22499142587184906,0.009909954834128341,303.70339274406433
6,-0.2918824255466461,-0.30471765995025635,0.5910372734069824,0.26159602403640747,0.00989193491307027,307.79181957244873
7,-0.28563910722732544,-0.29514965415000916,0.6289273500442505,0.2983291447162628,0.00987391134388305,304.3951578140259
8,-0.3054158389568329,-0.3854105770587921,0.6742557287216187,0.3359217941761017,0.009855884118426006,303.59797167778015
9,-0.3364984095096588,-0.4443502724170685,0.6855344772338867,0.370883047580719,0.009837853228523706,303.6369135379791
10,-0.3649614155292511,-0.305059552192688,0.6109201908111572,0.3948867619037628,0.009819818665965752,303.50340270996094
11,-0.34814661741256714,-0.34131938219070435,0.5951252579689026,0.41491061449050903,0.009801780422506557,303.4184772968292
12,-0.3336394131183624,-0.42522183060646057,0.7168125510215759,0.4451008141040802,0.009783738489865112,303.4761302471161
13,-0.3781251311302185,-0.39725953340530396,0.6751937866210938,0.4681100845336914,0.009765692859724779,303.45007586479187
14,-0.38388755917549133,-0.4257708787918091,0.7289746403694153,0.4941965341567993,0.009747643523733043,303.3904674053192
15,-0.39267292618751526,-0.44435033202171326,0.7495964765548706,0.5197365283966064,0.009729590473501306,303.59825444221497
16,-0.41765105724334717,-0.4242675006389618,0.7204586267471313,0.5398087501525879,0.009711533700604631,303.28174209594727
17,-0.4374311566352844,-0.43145424127578735,0.7253172993659973,0.5583596229553223,0.009693473196581535,303.5383310317993
18,-0.4220634996891022,-0.5072834491729736,0.7626139521598816,0.5787850618362427,0.009675408952933734,303.33523869514465
19,-0.410920113325119,-0.46709874272346497,0.747385561466217,0.5956451296806335,0.009657340961125919,303.59277081489563
20,-0.439970999956131,-0.5234353542327881,0.7751646637916565,0.61359703540802,0.009639269212585509,303.7143063545227
21,-0.4432131052017212,-0.45090049505233765,0.7504761219024658,0.6272849440574646,0.009621193698702417,303.59042024612427
22,-0.45129022002220154,-0.47300684452056885,0.7463794350624084,0.6391943693161011,0.009603114410828804,303.53207206726074
23,-0.45212045311927795,-0.45805037021636963,0.7017388939857483,0.6454488039016724,0.009585031340278832,304.3442349433899
24,-0.4098450839519501,-0.4566921293735504,0.739514172077179,0.6548553109169006,0.009566944478328421,305.1052350997925
25,-0.42477670311927795,-0.4681171774864197,0.7424851059913635,0.663618266582489,0.009548853816214998,304.43135356903076
