epoch,learning_rate,train_loss,val_loss,pseudo_dice,epoch_time_s,ema_pseudo_dice
0,0.01,0.0551,0.0019,0.1999,226.62,0.199900001
1,0.00999,-0.0782,-0.1035,0.3846,215.98,0.218400002
2,0.00998,-0.1213,-0.1779,0.4594,214.65,0.242500007
3,0.00997,-0.1391,-0.1511,0.4451,215.75,0.262699991
4,0.00996,-0.1648,-0.1736,0.4408,215.78,0.280499995
5,0.00995,-0.2064,-0.2567,0.5917,216.08,0.311699986
6,0.00995,-0.222,-0.3044,0.6125,215.82,0.341699988
7,0.00994,-0.2508,-0.3205,0.6307,217.92,0.370599985
8,0.00993,-0.279,-0.2601,0.5573,217.98,0.389299989
9,0.00992,-0.2712,-0.3392,0.6159,216.72,0.412
10,0.00991,-0.2687,-0.3482,0.6335,216.34,0.434100002
11,0.0099,-0.2755,-0.3723,0.6862,216.06,0.459300011
12,0.00989,-0.2894,-0.3686,0.6529,216.13,0.478700012
13,0.00988,-0.3173,-0.3763,0.6901,216.34,0.499799997
14,0.00987,-0.3173,-0.3035,0.5907,221.9,0.508899987
15,0.00986,-0.3196,-0.383,0.6097,217.69,0.518999994
16,0.00986,-0.362,-0.4187,0.7072,216.1,0.537800014
17,0.00985,-0.3519,-0.4283,0.7145,216.05,0.555499971
18,0.00984,-0.3395,-0.3202,0.6101,216.39,0.560899973
19,0.00983,-0.3457,-0.3861,0.6158,216.65,0.566399992
20,0.00982,-0.3458,-0.4325,0.6998,218.17,0.57980001
21,0.00981,-0.3757,-0.4437,0.6878,221.01,0.590600014
22,0.0098,-0.3861,-0.3905,0.7138,219.52,0.602900028
23,0.00979,-0.3846,-0.4364,0.6983,221.79,0.612399995
24,0.00978,-0.3898,-0.4288,0.6935,221.53,0.620500028
25,0.00977,-0.4216,-0.4648,0.7038,216.84,0.628899992
26,0.00977,-0.3904,-0.4459,0.7542,217.55,0.64139998
27,0.00976,-0.4121,-0.4773,0.7203,216.27,0.649299979
28,0.00975,-0.4137,-0.4572,0.7498,215.26,0.659300029
29,0.00974,-0.3917,-0.4687,0.7254,215.44,0.665899992
30,0.00973,-0.4177,-0.428,0.6443,215.37,
31,0.00972,-0.4318,-0.4657,0.7298,215.26,0.670400023
32,0.00971,-0.4396,-0.4443,0.6642,215.35,
33,0.0097,-0.427,-0.4898,0.7804,215.27,0.680800021
34,0.00969,-0.4095,-0.5205,0.7748,215.55,0.690199971
35,0.00968,-0.4226,-0.4731,0.723,215.46,0.693499982
36,0.00968,-0.4279,-0.4708,0.7556,215.16,0.699699998
37,0.00967,-0.4177,-0.4581,0.7382,215.46,0.703599989
38,0.00966,-0.4265,-0.4186,0.7577,216.6,0.708999991
39,0.00965,-0.4314,-0.479,0.7218,216.51,0.710300028
40,0.00964,-0.4341,-0.4489,0.6933,216.37,
41,0.00963,-0.4164,-0.4038,0.6587,216.49,
42,0.00962,-0.4209,-0.4605,0.7598,222.8,
43,0.00961,-0.4418,-0.4954,0.7555,216.17,0.713800013
44,0.0096,-0.4312,-0.4614,0.7532,216.68,0.717800021
45,0.00959,-0.4093,-0.4799,0.7941,216.59,0.725399971
46,0.00959,-0.4285,-0.4995,0.7496,216.64,0.727800012
47,0.00958,-0.4606,-0.4886,0.7324,216.34,0.728299975
48,0.00957,-0.4659,-0.5074,0.7543,216.38,0.73089999
49,0.00956,-0.4328,-0.5135,0.7331,216.38,0.731100023
50,0.00955,-0.4365,-0.466,0.7496,216.52,0.732900023
51,0.00954,-0.4256,-0.5194,0.7346,215.73,0.733099997
52,0.00953,-0.4396,-0.4419,0.7194,215.45,
53,0.00952,-0.4299,-0.4971,0.7767,215.31,0.736199975
54,0.00951,-0.4258,-0.4817,0.7273,215.41,
55,0.0095,-0.4789,-0.4511,0.7395,216.08,
56,0.00949,-0.4366,-0.4894,0.6913,216.45,
57,0.00949,-0.4785,-0.4111,0.7425,216.67,
58,0.00948,-0.4493,-0.5507,0.7527,215.94,
59,0.00947,-0.4732,-0.5111,0.7308,216.45,
60,0.00946,-0.4868,-0.5094,0.7774,216.88,0.738399982
61,0.00945,-0.4748,-0.5254,0.7742,216.6,0.741999984
62,0.00944,-0.4527,-0.4743,0.7463,216.74,0.742399991
63,0.00943,-0.4584,-0.5241,0.7831,217.52,0.746500015
64,0.00942,-0.4379,-0.5015,0.7433,217.32,
65,0.00941,-0.4609,-0.5267,0.7153,217.48,
66,0.0094,-0.5079,-0.4973,0.7861,217.77,0.747399986
67,0.00939,-0.4647,-0.5158,0.6952,217.44,
68,0.00939,-0.4577,-0.4943,0.7119,217.34,
69,0.00938,-0.4733,-0.5519,0.7374,217.32,
70,0.00937,-0.4555,-0.4954,0.7658,215.77,
71,0.00936,-0.4649,-0.5116,0.7739,216.26,
72,0.00935,-0.4512,-0.5271,0.7713,216.13,0.747500002
73,0.00934,-0.4621,-0.4447,0.7776,216.23,0.750500023
74,0.00933,-0.4819,-0.5178,0.7649,216.2,0.751999974
75,0.00932,-0.4561,-0.4884,0.7381,216.16,
76,0.00931,-0.5018,-0.4921,0.7327,216.27,
77,0.0093,-0.4619,-0.5289,0.7706,216.23,
78,0.0093,-0.473,-0.5466,0.7666,216.27,0.752499998
79,0.00929,-0.4624,-0.489,0.7655,217.66,0.753799975
80,0.00928,-0.4702,-0.5152,0.7832,218.48,0.756799996
81,0.00927,-0.4892,-0.4842,0.7352,216.23,
82,0.00926,-0.4976,-0.5141,0.7632,216.85,
83,0.00925,-0.4787,-0.5601,0.7873,216.49,0.758599997
84,0.00924,-0.5035,-0.5211,0.7482,216.32,
85,0.00923,-0.4498,-0.5088,0.7513,217.17,
86,0.00922,-0.4828,-0.5701,0.8016,216.37,0.761399984
87,0.00921,-0.4653,-0.5194,0.7923,216.68,0.764500022
88,0.0092,-0.4732,-0.4963,0.7412,216.49,
89,0.0092,-0.4731,-0.5428,0.754,216.79,
90,0.00919,-0.5056,-0.5161,0.7676,216.59,
91,0.00918,-0.5094,-0.5306,0.7909,216.47,0.764900029
92,0.00917,-0.5191,-0.538,0.7486,216.08,
93,0.00916,-0.4904,-0.5159,0.7695,216.1,
94,0.00915,-0.4676,-0.4994,0.774,220.15,0.764900029
95,0.00914,-0.502,-0.5185,0.7616,219.94,
96,0.00913,-0.4964,-0.4991,0.7671,216.52,
97,0.00912,-0.4899,-0.5017,0.7507,216.7,
98,0.00911,-0.4806,-0.517,0.7603,216.38,
99,0.0091,-0.4819,-0.52,0.7869,216.29,0.765500009
100,0.0091,-0.5117,-0.5027,0.7781,216.84,0.766700029
101,0.00909,-0.4982,-0.5074,0.7566,215.99,
102,0.00908,-0.5143,-0.5119,0.7609,215.94,
103,0.00907,-0.5141,-0.5275,0.778,216.13,
104,0.00906,-0.5029,-0.5242,0.7683,216.36,
105,0.00905,-0.5046,-0.5146,0.7539,216.48,
106,0.00904,-0.5141,-0.5797,0.7811,216.75,0.76700002
107,0.00903,-0.5298,-0.5544,0.7997,217.5,0.770299971
108,0.00902,-0.5121,-0.53,0.7737,216.45,0.770600021
109,0.00901,-0.504,-0.5599,0.7784,218.48,0.771399975
110,0.009,-0.5007,-0.5595,0.7889,217.33,0.773100019
111,0.009,-0.4911,-0.5863,0.7818,216.79,0.773999989
112,0.00899,-0.5034,-0.4995,0.7599,216.68,
113,0.00898,-0.5207,-0.537,0.7761,215.96,
114,0.00897,-0.496,-0.5938,0.8321,216.25,0.778900027
115,0.00896,-0.5458,-0.5089,0.785,216.09,0.779500008
116,0.00895,-0.501,-0.5224,0.7663,215.88,
117,0.00894,-0.5274,-0.5944,0.7442,216.42,
118,0.00893,-0.5123,-0.5458,0.7668,216.89,
119,0.00892,-0.4984,-0.4897,0.7701,217.09,
120,0.00891,-0.4812,-0.4855,0.8083,217.12,
121,0.0089,-0.5195,-0.5426,0.7839,216.43,
122,0.00889,-0.5162,-0.5146,0.7756,216.78,
123,0.00889,-0.5063,-0.5321,0.7964,216.69,
124,0.00888,-0.5241,-0.5466,0.7592,216.61,
125,0.00887,-0.5396,-0.5215,0.7608,216.44,
126,0.00886,-0.5051,-0.5221,0.7465,216.67,
127,0.00885,-0.5192,-0.5555,0.8308,216.51,
128,0.00884,-0.5318,-0.5567,0.7889,216.48,0.779600024
129,0.00883,-0.5149,-0.5561,0.766,217.52,
130,0.00882,-0.51,-0.546,0.8079,216.8,0.781199992
131,0.00881,-0.5058,-0.4561,0.7082,217.55,
132,0.0088,-0.4958,-0.5336,0.7846,217.5,
133,0.00879,-0.4825,-0.5418,0.7754,218.11,
134,0.00879,-0.5016,-0.5337,0.7906,218.35,
135,0.00878,-0.559,-0.5451,0.7924,252.55,
136,0.00877,-0.5219,-0.567,0.7598,247.61,
137,0.00876,-0.496,-0.4879,0.7231,216.86,
138,0.00875,-0.5145,-0.5756,0.7929,216.94,
139,0.00874,-0.5378,-0.4606,0.7061,217.03,
140,0.00873,-0.5396,-0.5155,0.7542,216.93,
141,0.00872,-0.521,-0.5695,0.8266,218.56,
142,0.00871,-0.499,-0.5702,0.791,219.33,
143,0.0087,-0.5412,-0.5302,0.7962,218.83,
144,0.00869,-0.5145,-0.5091,0.7272,216.5,
145,0.00868,-0.5442,-0.5185,0.8144,218.77,
146,0.00868,-0.514,-0.5683,0.7942,216.71,
147,0.00867,-0.5211,-0.4849,0.7758,217.21,
148,0.00866,-0.4625,-0.504,0.7557,216.63,
149,0.00865,-0.5163,-0.4926,0.7918,216.02,
150,0.00864,-0.488,-0.5651,0.8042,216.44,
