epoch,learning_rate,train_loss,val_loss,pseudo_dice,epoch_time_s,ema_pseudo_dice
0,0.01,0.025,-0.0271,0.2185,228.55,0.218500003
1,0.00999,-0.0635,-0.079,0.3295,215.56,0.229599997
2,0.00998,-0.1119,-0.0762,0.3235,215.43,0.238999993
3,0.00997,-0.1483,-0.1473,0.3978,215.26,0.254900008
4,0.00996,-0.1835,-0.1744,0.4713,215.21,0.276499987
5,0.00995,-0.2092,-0.1914,0.5426,215.27,0.30309999
6,0.00995,-0.2271,-0.2017,0.5659,215.4,0.329400003
7,0.00994,-0.2315,-0.2408,0.6023,215.32,0.356700003
8,0.00993,-0.2451,-0.2162,0.5854,215.56,0.379599988
9,0.00992,-0.2824,-0.2116,0.5565,219.19,0.397199988
10,0.00991,-0.3084,-0.2547,0.6713,215.79,0.424600005
11,0.0099,-0.2913,-0.2344,0.612,216.13,0.443399996
12,0.00989,-0.3052,-0.2196,0.5294,215.77,0.451999992
13,0.00988,-0.3242,-0.2484,0.6288,215.41,0.469700009
14,0.00987,-0.3018,-0.2886,0.7062,216.51,0.493299991
15,0.00986,-0.3358,-0.3316,0.6375,213.78,0.507700026
16,0.00986,-0.348,-0.3008,0.6134,214.95,0.518299997
17,0.00985,-0.3422,-0.3249,0.6644,215.24,0.532899976
18,0.00984,-0.3745,-0.3201,0.6406,215.62,0.54369998
19,0.00983,-0.3596,-0.298,0.6132,215.32,0.550599992
20,0.00982,-0.374,-0.3613,0.667,214.88,0.562300026
21,0.00981,-0.3739,-0.3339,0.6432,215.52,0.5704
22,0.0098,-0.3878,-0.3494,0.7384,216.16,0.587199986
23,0.00979,-0.4055,-0.4262,0.7097,215.73,0.599399984
24,0.00978,-0.3778,-0.383,0.6907,216.09,0.608500004
25,0.00977,-0.4099,-0.3417,0.6863,215.98,0.616299987
26,0.00977,-0.4019,-0.3291,0.7123,215.44,0.625899971
27,0.00976,-0.4069,-0.3692,0.6688,215.29,0.630200028
28,0.00975,-0.4206,-0.405,0.691,215.21,0.636300027
29,0.00974,-0.4254,-0.391,0.7199,215.58,0.644599974
30,0.00973,-0.4219,-0.3954,0.7151,215.79,0.65170002
31,0.00972,-0.411,-0.3779,0.6826,216.24,0.654799998
32,0.00971,-0.4191,-0.4441,0.6899,215.38,0.658299983
33,0.0097,-0.4223,-0.3673,0.7014,215.07,0.662599981
34,0.00969,-0.4409,-0.3951,0.6505,215.71,
35,0.00968,-0.4446,-0.4044,0.7472,216.17,0.670000017
36,0.00968,-0.4379,-0.3949,0.7191,215.59,0.674899995
37,0.00967,-0.4493,-0.4219,0.7159,216.23,0.67900002
38,0.00966,-0.4436,-0.3861,0.7005,215.89,0.681100011
39,0.00965,-0.4323,-0.3886,0.7148,215.68,0.684499979
40,0.00964,-0.4252,-0.3784,0.6715,215.93,
41,0.00963,-0.4571,-0.4103,0.7016,215.73,0.685000002
42,0.00962,-0.4499,-0.4503,0.7655,215.9,0.693099976
43,0.00961,-0.4606,-0.4559,0.7699,215.58,0.700800002
44,0.0096,-0.4533,-0.4296,0.6844,215.98,
45,0.00959,-0.4787,-0.3929,0.7465,215.32,0.70389998
46,0.00959,-0.4534,-0.4505,0.7509,216.04,0.708599985
47,0.00958,-0.48,-0.4065,0.6762,215.73,
48,0.00957,-0.4498,-0.3986,0.6758,215.46,
49,0.00956,-0.47,-0.4744,0.7559,215.32,
50,0.00955,-0.4592,-0.4175,0.7074,215.82,
51,0.00954,-0.4496,-0.4013,0.7282,215.57,0.709699988
52,0.00953,-0.4725,-0.3913,0.7298,215.79,0.711799979
53,0.00952,-0.4837,-0.495,0.7724,215.16,0.717800021
54,0.00951,-0.4314,-0.4515,0.7921,215.16,0.725300014
55,0.0095,-0.4644,-0.4235,0.7074,215.4,
56,0.00949,-0.4763,-0.4017,0.6459,215.27,
57,0.00949,-0.469,-0.3767,0.6463,215.01,
58,0.00948,-0.4648,-0.4343,0.7404,215.65,
59,0.00947,-0.4729,-0.461,0.6515,215.21,
60,0.00946,-0.467,-0.3514,0.7028,216.69,
61,0.00945,-0.4602,-0.4415,0.7562,216.05,
62,0.00944,-0.4751,-0.4551,0.7614,215.71,
63,0.00943,-0.4902,-0.4529,0.7487,216.26,
64,0.00942,-0.4812,-0.4675,0.7679,216.12,
65,0.00941,-0.4988,-0.4654,0.7115,216.16,
66,0.0094,-0.5121,-0.4437,0.7881,215.7,0.729200006
67,0.00939,-0.4633,-0.446,0.7063,215.68,
68,0.00939,-0.4757,-0.4256,0.7301,216.13,
69,0.00938,-0.4967,-0.4994,0.7967,216.1,0.734200001
70,0.00937,-0.4807,-0.4243,0.7171,216.53,
71,0.00936,-0.4647,-0.3605,0.6948,218.72,
72,0.00935,-0.4891,-0.4306,0.718,219.49,
73,0.00934,-0.4949,-0.4605,0.735,217.08,
74,0.00933,-0.4609,-0.4523,0.7156,217.69,
75,0.00932,-0.483,-0.4934,0.7597,217.97,
76,0.00931,-0.5009,-0.4257,0.7246,217.63,
77,0.0093,-0.5083,-0.4708,0.7584,217.64,
78,0.0093,-0.5098,-0.4543,0.7758,217.99,0.736999989
79,0.00929,-0.4889,-0.5206,0.7738,217.84,0.74059999
80,0.00928,-0.4866,-0.3883,0.6328,217.57,
81,0.00927,-0.4627,-0.4299,0.7497,216.35,
82,0.00926,-0.498,-0.4594,0.6983,217.23,
83,0.00925,-0.4975,-0.4611,0.7726,216.34,
84,0.00924,-0.5003,-0.4581,0.7617,216.15,
85,0.00923,-0.5051,-0.4247,0.7132,216.01,
86,0.00922,-0.4949,-0.4756,0.7487,217.38,
87,0.00921,-0.4939,-0.4173,0.73,219.01,
88,0.0092,-0.4868,-0.5043,0.8124,217.62,0.742299974
89,0.0092,-0.5079,-0.4384,0.7142,216.55,
90,0.00919,-0.4736,-0.4626,0.7752,218.16,0.743099988
91,0.00918,-0.5119,-0.4344,0.6811,217.04,
92,0.00917,-0.5164,-0.4885,0.7818,216.84,
93,0.00916,-0.5045,-0.4384,0.7376,217.55,
94,0.00915,-0.5247,-0.4843,0.762,217.27,0.743099988
