epoch,learning_rate,train_loss,val_loss,pseudo_dice,epoch_time_s,ema_pseudo_dice
0,0.01,0.0662,0.001,0,226.72,0
1,0.00999,-0.028,-0.1356,0.3754,216.63,0.037500001
2,0.00998,-0.1132,-0.1724,0.4519,217.3,0.079000004
3,0.00997,-0.1419,-0.2201,0.4707,217.35,0.118100002
4,0.00996,-0.1792,-0.2432,0.5396,216.76,0.160300002
5,0.00995,-0.2038,-0.2237,0.5615,216.21,0.200399995
6,0.00995,-0.2321,-0.235,0.5253,216.97,0.232899994
7,0.00994,-0.234,-0.2417,0.5903,217.84,0.268599987
8,0.00993,-0.2377,-0.3221,0.6291,218.24,0.304699987
9,0.00992,-0.3028,-0.3437,0.6285,217.61,0.337099999
10,0.00991,-0.2785,-0.3337,0.6561,217.4,0.368999988
11,0.0099,-0.2444,-0.3087,0.5811,216.31,0.390199989
12,0.00989,-0.2829,-0.26,0.5937,216.7,0.41049999
13,0.00988,-0.298,-0.3193,0.6497,216.41,0.434399992
14,0.00987,-0.3182,-0.3925,0.6424,216.02,0.455199987
15,0.00986,-0.2744,-0.3179,0.6181,216.08,0.471500009
16,0.00986,-0.3169,-0.3743,0.6854,216.08,0.492900014
17,0.00985,-0.3261,-0.3276,0.6985,215.98,0.513499975
18,0.00984,-0.3375,-0.3645,0.6949,216.45,0.531599998
19,0.00983,-0.3535,-0.3087,0.6021,216.73,0.538699985
20,0.00982,-0.3512,-0.3737,0.6709,216.8,0.551900029
21,0.00981,-0.3661,-0.3737,0.6791,216.98,0.564599991
22,0.0098,-0.3509,-0.4004,0.6438,217.01,0.57249999
23,0.00979,-0.3481,-0.3889,0.6776,216.55,0.583000004
24,0.00978,-0.353,-0.3647,0.6453,217.14,0.589299977
25,0.00977,-0.3596,-0.41,0.7136,218.39,0.601700008
26,0.00977,-0.4024,-0.3967,0.6269,218.65,0.604200006
27,0.00976,-0.3575,-0.3929,0.7429,220.05,0.618099988
28,0.00975,-0.408,-0.421,0.6641,217.94,0.622699976
29,0.00974,-0.3998,-0.404,0.7359,217.71,0.634000003
30,0.00973,-0.3962,-0.3495,0.6759,217.07,0.638199985
31,0.00972,-0.4008,-0.4035,0.7049,217.96,0.644900024
32,0.00971,-0.3742,-0.4662,0.7475,218.74,0.655099988
33,0.0097,-0.4093,-0.4361,0.7544,217.86,0.665099978
34,0.00969,-0.4201,-0.429,0.7099,219.48,0.669499993
35,0.00968,-0.4048,-0.3897,0.6873,219.04,0.671299994
36,0.00968,-0.4247,-0.4432,0.7091,218.99,0.675100029
37,0.00967,-0.3949,-0.4377,0.7196,219.62,0.6796
38,0.00966,-0.4029,-0.4931,0.7197,221.51,0.683600008
39,0.00965,-0.4163,-0.4244,0.7504,220.3,0.690199971
40,0.00964,-0.4176,-0.4562,0.7347,219.77,0.694700003
41,0.00963,-0.4203,-0.4219,0.7206,220.88,0.697300017
42,0.00962,-0.4182,-0.4816,0.7459,219.3,0.702099979
43,0.00961,-0.4283,-0.472,0.7176,220.82,0.703700006
44,0.0096,-0.4463,-0.4681,0.7566,221.39,0.708999991
45,0.00959,-0.3957,-0.399,0.6876,220.48,
46,0.00959,-0.4433,-0.4705,0.7576,221.78,0.711899996
47,0.00958,-0.4683,-0.433,0.7279,220.05,0.713500023
48,0.00957,-0.4396,-0.4835,0.7508,221.3,0.717199981
49,0.00956,-0.4355,-0.401,0.7001,220.69,
50,0.00955,-0.4406,-0.4264,0.7655,220.09,0.720499992
51,0.00954,-0.4749,-0.4817,0.7731,220.21,0.725799978
52,0.00953,-0.4635,-0.4916,0.7528,221.2,0.728500009
53,0.00952,-0.4319,-0.4449,0.7271,222.08,
54,0.00951,-0.4486,-0.4313,0.6865,220.3,
55,0.0095,-0.4569,-0.4118,0.7303,222.89,
56,0.00949,-0.4584,-0.4706,0.7765,221.44,0.729900002
57,0.00949,-0.4746,-0.4608,0.7359,222.26,0.730499983
58,0.00948,-0.4726,-0.4919,0.7586,222.89,0.733399987
59,0.00947,-0.5012,-0.4788,0.7518,222.83,0.735199988
60,0.00946,-0.4627,-0.4335,0.7573,226.38,0.737399995
61,0.00945,-0.4684,-0.507,0.7882,222.82,0.742500007
62,0.00944,-0.4585,-0.4463,0.7477,222.88,0.742999971
63,0.00943,-0.4807,-0.4715,0.7151,221.76,
64,0.00942,-0.458,-0.4883,0.7604,223.02,
65,0.00941,-0.5006,-0.473,0.7615,224.82,0.744199991
66,0.0094,-0.4504,-0.4804,0.7445,224.01,0.744199991
67,0.00939,-0.4937,-0.4616,0.7599,224.55,0.745800018
68,0.00939,-0.4817,-0.4847,0.7237,221.45,
69,0.00938,-0.5071,-0.4515,0.7918,223.87,0.748399973
70,0.00937,-0.4755,-0.4985,0.7905,225.4,0.752600014
71,0.00936,-0.4898,-0.4678,0.7352,224.05,
72,0.00935,-0.5062,-0.5405,0.749,222.6,
73,0.00934,-0.4629,-0.4651,0.7638,220.75,
74,0.00933,-0.4948,-0.532,0.7429,220.41,
75,0.00932,-0.5012,-0.4817,0.7761,220.16,0.753600001
76,0.00931,-0.4708,-0.4731,0.7807,220.93,0.756299973
77,0.0093,-0.4728,-0.4479,0.6519,220.9,
78,0.0093,-0.4641,-0.4696,0.7117,222.76,
79,0.00929,-0.473,-0.5375,0.759,219.86,
80,0.00928,-0.4808,-0.4751,0.7679,220.69,
81,0.00927,-0.459,-0.4814,0.7218,221.51,
82,0.00926,-0.493,-0.5446,0.7969,221.48,
83,0.00925,-0.5004,-0.481,0.7634,219.91,
84,0.00924,-0.5142,-0.4626,0.7855,220.02,
85,0.00923,-0.4944,-0.4701,0.7346,223.07,
86,0.00922,-0.4979,-0.5227,0.7586,221.07,
87,0.00921,-0.4733,-0.5276,0.7695,220.47,
88,0.0092,-0.4765,-0.459,0.738,220.9,
89,0.0092,-0.4844,-0.5173,0.7698,220.16,
90,0.00919,-0.4929,-0.5193,0.7844,222.52,0.757600009
91,0.00918,-0.5178,-0.4771,0.707,221.85,
92,0.00917,-0.5026,-0.5028,0.7635,219.96,
93,0.00916,-0.5094,-0.5782,0.8151,222.62,0.759800017
94,0.00915,-0.4942,-0.5041,0.7761,221.46,0.761399984
95,0.00914,-0.4953,-0.513,0.8058,222.9,0.765799999
96,0.00913,-0.5051,-0.5096,0.7358,220.82,
97,0.00912,-0.4909,-0.48,0.7837,222.1,
98,0.00911,-0.4998,-0.4885,0.7456,221.44,
99,0.0091,-0.5342,-0.4725,0.785,223.97,
100,0.0091,-0.4994,-0.5275,0.7922,221.89,0.76789999
101,0.00909,-0.5206,-0.5306,0.7504,222.22,
102,0.00908,-0.4968,-0.4556,0.7352,223.98,
103,0.00907,-0.4676,-0.5013,0.735,223.34,
104,0.00906,-0.4951,-0.5016,0.7563,219.45,
105,0.00905,-0.5022,-0.4963,0.772,220.71,
106,0.00904,-0.5157,-0.5412,0.7903,220.27,
107,0.00903,-0.4966,-0.5066,0.763,221.78,
108,0.00902,-0.5172,-0.4886,0.775,221.91,
109,0.00901,-0.4974,-0.5074,0.8058,221.25,0.76910001
110,0.009,-0.5254,-0.5241,0.7694,220.9,0.76910001
111,0.009,-0.4963,-0.4203,0.703,220.51,
112,0.00899,-0.5093,-0.5118,0.7825,221.97,
113,0.00898,-0.4867,-0.4669,0.7345,223.4,
114,0.00897,-0.4962,-0.4463,0.7589,222.87,
115,0.00896,-0.481,-0.4569,0.7553,220.91,
116,0.00895,-0.4785,-0.5011,0.7394,220.44,
117,0.00894,-0.5023,-0.4878,0.7738,221.13,
118,0.00893,-0.4975,-0.5103,0.7655,221.47,
119,0.00892,-0.4882,-0.4578,0.6994,221.19,
120,0.00891,-0.4615,-0.5243,0.7766,223.43,
121,0.0089,-0.5275,-0.5316,0.7198,220.62,
122,0.00889,-0.5282,-0.524,0.7846,221.45,
123,0.00889,-0.5219,-0.5199,0.7892,219.93,
124,0.00888,-0.5009,-0.4899,0.7357,223.54,
125,0.00887,-0.5173,-0.4908,0.7564,220.7,
126,0.00886,-0.53,-0.5218,0.8136,221.13,
127,0.00885,-0.511,-0.5225,0.7744,221.23,
128,0.00884,-0.5232,-0.5418,0.7996,221.52,
129,0.00883,-0.5026,-0.5232,0.7149,220.41,
130,0.00882,-0.5024,-0.4542,0.7629,222.72,
131,0.00881,-0.5267,-0.5301,0.7846,221.52,
132,0.0088,-0.5036,-0.5439,0.7501,221.79,
133,0.00879,-0.5247,-0.4977,0.7465,221.64,
134,0.00879,-0.5126,-0.5231,0.7755,220.43,
135,0.00878,-0.5142,-0.5099,0.7877,220.76,
136,0.00877,-0.5349,-0.5717,0.8118,219.4,0.769900024
137,0.00876,-0.54,-0.5161,0.7477,223.63,
138,0.00875,-0.5069,-0.5092,0.7779,222.15,
139,0.00874,-0.502,-0.519,0.7835,220.33,0.770200014
140,0.00873,-0.5182,-0.5913,0.8266,220.47,0.77579999
141,0.00872,-0.5228,-0.5514,0.8171,221.41,0.779999971
142,0.00871,-0.5111,-0.5358,0.7563,221.07,
143,0.0087,-0.5283,-0.5112,0.7668,221.82,
144,0.00869,-0.5156,-0.4722,0.7569,222.63,
145,0.00868,-0.5467,-0.4874,0.7744,221.77,
146,0.00868,-0.5279,-0.5078,0.7963,221.66,
147,0.00867,-0.5398,-0.5478,0.7837,222.69,
148,0.00866,-0.5338,-0.5364,0.7658,221.55,
