epoch,learning_rate,train_loss,val_loss,pseudo_dice,epoch_time_s,ema_pseudo_dice
99,0.0091,-0.497,-0.5216,0.7363,218.1,
100,0.0091,-0.5264,-0.4903,0.7601,217.81,
101,0.00909,-0.5061,-0.4526,0.7552,218.05,
102,0.00908,-0.5191,-0.5255,0.7801,217.78,
103,0.00907,-0.5302,-0.5253,0.7637,218.43,
104,0.00906,-0.5298,-0.4888,0.7326,218.1,
105,0.00905,-0.486,-0.4975,0.7161,217.92,
106,0.00904,-0.5122,-0.5916,0.8449,218.53,0.758000016
107,0.00903,-0.4347,-0.4796,0.702,218.01,
108,0.00902,-0.481,-0.5264,0.7671,218.7,
109,0.00901,-0.5077,-0.563,0.7714,217.91,
110,0.009,-0.4798,-0.4782,0.7582,217.78,
111,0.009,-0.4767,-0.4791,0.7183,217.95,
112,0.00899,-0.5307,-0.4741,0.71,217.62,
113,0.00898,-0.5138,-0.4814,0.7438,218.43,
114,0.00897,-0.4975,-0.528,0.7642,218.35,
115,0.00896,-0.5094,-0.5005,0.7884,218.24,
116,0.00895,-0.4856,-0.5578,0.8113,217.99,0.758899987
117,0.00894,-0.5144,-0.5198,0.7835,217.91,0.761399984
118,0.00893,-0.5035,-0.5487,0.7858,217.73,0.763800025
119,0.00892,-0.4931,-0.4678,0.7312,218.35,
120,0.00891,-0.4949,-0.5032,0.7622,218.59,
121,0.0089,-0.5027,-0.536,0.7834,218.26,
122,0.00889,-0.5114,-0.5367,0.8018,217.69,0.766900003
123,0.00889,-0.5233,-0.5087,0.7376,218.41,
124,0.00888,-0.5004,-0.5504,0.8075,218.41,0.768299997
125,0.00887,-0.4553,-0.4527,0.7475,217.74,
126,0.00886,-0.5118,-0.5226,0.8103,217.93,0.770600021
127,0.00885,-0.5139,-0.5047,0.7477,218.09,
128,0.00884,-0.5254,-0.547,0.7701,218.18,
129,0.00883,-0.5005,-0.5415,0.7826,217.71,
130,0.00882,-0.5104,-0.5331,0.7489,219.02,
131,0.00881,-0.506,-0.5551,0.8082,217.95,0.771899998
132,0.0088,-0.5114,-0.5628,0.7764,217.88,0.772300005
133,0.00879,-0.5072,-0.5222,0.7389,218.41,
134,0.00879,-0.5031,-0.5143,0.8237,218.45,0.774399996
135,0.00878,-0.512,-0.4782,0.7163,218.43,
136,0.00877,-0.5015,-0.5055,0.7642,217.88,
137,0.00876,-0.5165,-0.5826,0.8174,218.12,
138,0.00875,-0.5227,-0.5245,0.804,217.48,0.776199996
139,0.00874,-0.5504,-0.5108,0.7528,218.04,
140,0.00873,-0.5232,-0.5518,0.8029,217.71,0.776799977
141,0.00872,-0.5035,-0.438,0.7203,217.94,
142,0.00871,-0.5018,-0.4783,0.7961,218.69,
143,0.0087,-0.5248,-0.5457,0.7822,218.26,
144,0.00869,-0.5358,-0.5083,0.808,218.35,0.777800024
145,0.00868,-0.5512,-0.5312,0.761,219.29,
146,0.00868,-0.5059,-0.5442,0.7974,217.8,0.778299987
147,0.00867,-0.5048,-0.534,0.76,218.18,
148,0.00866,-0.5113,-0.5274,0.7852,218.96,
149,0.00865,-0.5108,-0.5458,0.777,217.74,
150,0.00864,-0.5163,-0.5282,0.7602,218.19,
151,0.00863,-0.5164,-0.4836,0.7447,220.03,
152,0.00862,-0.5411,-0.512,0.7741,220.98,
153,0.00861,-0.5299,-0.5185,0.7968,218.38,
154,0.0086,-0.5386,-0.4855,0.6946,218.52,
155,0.00859,-0.5041,-0.5,0.7791,217.98,
156,0.00858,-0.5422,-0.4916,0.7606,219,
157,0.00858,-0.5705,-0.5932,0.806,218.49,
158,0.00857,-0.5325,-0.5092,0.7437,218.3,
159,0.00856,-0.5262,-0.5341,0.798,218.74,
160,0.00855,-0.5303,-0.5204,0.7563,218.66,
161,0.00854,-0.5234,-0.5483,0.766,218.07,
162,0.00853,-0.5105,-0.5543,0.758,218.94,
163,0.00852,-0.4928,-0.5101,0.7215,218.04,
164,0.00851,-0.5026,-0.5289,0.748,218.76,
165,0.0085,-0.5175,-0.5125,0.7326,218.25,
166,0.00849,-0.538,-0.5283,0.8124,218.74,
167,0.00848,-0.5225,-0.5221,0.7493,218.41,
168,0.00847,-0.5329,-0.4931,0.7659,219.53,
169,0.00847,-0.5314,-0.5056,0.795,218.12,
170,0.00846,-0.5242,-0.5273,0.794,218.36,
171,0.00845,-0.5238,-0.5518,0.7602,218.68,
172,0.00844,-0.5364,-0.581,0.8098,217.97,
173,0.00843,-0.5454,-0.5597,0.7908,218.07,
174,0.00842,-0.5431,-0.5397,0.7783,218.21,
175,0.00841,-0.533,-0.5532,0.8032,218.65,
176,0.0084,-0.5467,-0.5089,0.7862,220.05,0.778400004
177,0.00839,-0.5478,-0.5152,0.7702,219.34,
178,0.00838,-0.5238,-0.5908,0.7911,218.52,0.778900027
179,0.00837,-0.5363,-0.5335,0.7738,218.89,
180,0.00836,-0.532,-0.5709,0.8309,220.77,0.783699989
181,0.00836,-0.5275,-0.5362,0.7858,222.46,0.783900023
182,0.00835,-0.512,-0.5356,0.7716,218.48,
183,0.00834,-0.5304,-0.511,0.7438,218.34,
184,0.00833,-0.5426,-0.6008,0.8037,224.34,
185,0.00832,-0.5294,-0.5185,0.7993,217.48,
186,0.00831,-0.5262,-0.5547,0.7994,218.14,0.784699976
187,0.0083,-0.5363,-0.5386,0.7636,217.87,
188,0.00829,-0.546,-0.5869,0.8128,218.45,0.785600007
189,0.00828,-0.5703,-0.5648,0.8295,218.67,0.790000021
190,0.00827,-0.5202,-0.4975,0.7426,218.92,
191,0.00826,-0.5185,-0.5154,0.7362,218.88,
192,0.00825,-0.5416,-0.5119,0.7627,219.28,
193,0.00824,-0.5421,-0.5132,0.7571,218.88,
194,0.00824,-0.5338,-0.4825,0.7461,218.85,
195,0.00823,-0.5179,-0.4919,0.7375,218.69,
196,0.00822,-0.5287,-0.461,0.7237,218.42,
197,0.00821,-0.5083,-0.5425,0.8189,219.51,
198,0.0082,-0.5433,-0.5886,0.8142,221.29,
199,0.00819,-0.5404,-0.5531,0.7927,218.05,
200,0.00818,-0.5338,-0.5408,0.788,218.57,
201,0.00817,-0.5273,-0.5519,0.7444,217.6,
202,0.00816,-0.5186,-0.4949,0.7472,217.65,
203,0.00815,-0.5375,-0.4843,0.7553,218.5,
204,0.00814,-0.5352,-0.5431,0.7829,218.28,
205,0.00813,-0.5289,-0.4785,0.7984,218.76,
206,0.00813,-0.5227,-0.4578,0.7465,217.75,
