epoch,learning_rate,train_loss,val_loss,pseudo_dice,epoch_time_s,ema_pseudo_dice
0,0.01,0.0835,0.0033,0,229.16,0
1,0.00999,-0.0457,-0.0723,0.2648,216.34,0.0265
2,0.00998,-0.0908,-0.089,0.3474,222.93,0.058600001
3,0.00997,-0.141,-0.194,0.5249,216.52,0.1052
4,0.00996,-0.1874,-0.1501,0.4316,216.87,0.137799993
5,0.00995,-0.1745,-0.2093,0.5195,221.12,0.175999999
6,0.00995,-0.2114,-0.2867,0.6023,233.29,0.218600005
7,0.00994,-0.2472,-0.306,0.6289,223.71,0.2597
8,0.00993,-0.2658,-0.2685,0.6417,231.52,0.297899991
9,0.00992,-0.2753,-0.3397,0.659,217.36,0.333999991
10,0.00991,-0.2783,-0.2494,0.5994,216.57,0.360500008
11,0.0099,-0.296,-0.3394,0.674,216.65,0.391900003
12,0.00989,-0.272,-0.2496,0.5924,216.35,0.411900014
13,0.00988,-0.3059,-0.3446,0.5479,220.47,0.425500005
14,0.00987,-0.3111,-0.3263,0.6576,221.97,0.448700011
15,0.00986,-0.3444,-0.4163,0.6902,219.59,0.472900003
16,0.00986,-0.3458,-0.3171,0.6711,218.6,0.492700011
17,0.00985,-0.3015,-0.4058,0.6937,217.04,0.512799978
18,0.00984,-0.3433,-0.3894,0.7137,217.13,0.532899976
19,0.00983,-0.371,-0.3184,0.6202,219.48,0.541599989
20,0.00982,-0.3487,-0.3642,0.6832,217.5,0.555800021
21,0.00981,-0.3714,-0.4367,0.7194,217.86,0.572099984
22,0.0098,-0.3783,-0.4138,0.6796,219.89,0.582899988
23,0.00979,-0.3719,-0.3747,0.6253,219.52,0.587100029
24,0.00978,-0.3374,-0.3661,0.6428,219.82,0.592700005
25,0.00977,-0.3934,-0.4153,0.6783,218.31,0.601199985
26,0.00977,-0.387,-0.3849,0.692,221.94,0.610300004
27,0.00976,-0.3799,-0.3931,0.6673,219.94,0.615999997
28,0.00975,-0.3908,-0.3919,0.7411,221.35,0.628499985
29,0.00974,-0.3582,-0.4215,0.7268,218.82,0.638400018
30,0.00973,-0.3747,-0.4769,0.7605,216.36,0.650600016
31,0.00972,-0.4006,-0.3959,0.6818,218.55,0.653699994
32,0.00971,-0.4195,-0.451,0.7042,217.82,0.658800006
33,0.0097,-0.4068,-0.4075,0.694,218.24,0.662299991
34,0.00969,-0.3851,-0.4139,0.6685,219.37,0.662899971
35,0.00968,-0.3736,-0.4194,0.6978,217.13,0.666400015
36,0.00968,-0.3932,-0.4297,0.7164,216.18,0.671400011
37,0.00967,-0.4106,-0.4045,0.6651,217.17,
38,0.00966,-0.4358,-0.3873,0.6681,217.35,
39,0.00965,-0.4268,-0.4812,0.7316,217.04,0.676599979
40,0.00964,-0.4214,-0.4716,0.7453,222.05,0.683499992
41,0.00963,-0.4354,-0.459,0.7704,217.51,0.692200005
42,0.00962,-0.4081,-0.3938,0.7048,216.37,0.693400025
