case_id,n_ref,dice,size_group
r035s011,5705,0.7846209648168299,LARGE
r035s015,389017,0.7630063564262892,LARGE
r038s001,1508,0.5281553398058253,MEDIUM
r038s008,25843,0.6992071917421453,LARGE
r038s016,4241,0.8117486338797815,LARGE
r038s019,59714,0.7377290606416494,LARGE
r038s023,1415,0.6661496704148895,MEDIUM
r038s033,5739,0.7947729623014008,LARGE
r038s036,11559,0.710479381721883,LARGE
r038s037,2362,0.785956416464891,MEDIUM
r038s046,12795,0.7171103980574105,LARGE
r038s048,40397,0.7639372308418383,LARGE
r038s051,46905,0.5648084354312075,LARGE
r038s053,143656,0.82337164875967,LARGE
r038s061,136610,0.6011705382697508,LARGE
r038s066,17301,0.8716713574366746,LARGE
r038s075,6064,0.3046237533998187,LARGE
r038s077,80532,0.8110415891716032,LARGE
r038s097,1974,0.22570532915360503,MEDIUM
r039s001,555,0.8178294573643411,MEDIUM
r040s001,1083,0.7178181818181818,MEDIUM
r040s002,838,0.8435155412647374,MEDIUM
r040s009,5239,0.5945180540103165,LARGE
r040s011,9216,0.8601538976246236,LARGE
r040s015,112257,0.85633242495972,LARGE
r040s022,1349,0.8911319394376351,MEDIUM
r040s028,135543,0.8754960797599458,LARGE
r040s030,236766,0.8996953265065939,LARGE
r040s033,43848,0.8580393770656242,LARGE
r040s046,310,0.8014440433212996,SMALL
r040s058,238,0.4167459562321599,SMALL
r040s068,166648,0.8871113556857042,LARGE
r040s069,53868,0.8781995207849999,LARGE
r040s076,132079,0.9280334109760033,LARGE
r040s078,4700,0.8515897090214583,LARGE
r041s073,498,0.6822660098522167,SMALL
r042s003,1247,0.6700468018720749,MEDIUM
r042s006,46024,0.8012751873844057,LARGE
r042s008,118441,0.9207677536748367,LARGE
r042s010,11311,0.751535805569257,LARGE
r042s014,352,0.6666666666666666,SMALL
r042s030,4315,0.6889146836912362,LARGE
r042s034,1377,0.3780647576268014,MEDIUM
r046s003,11280,0.8967711423534975,LARGE
r046s005,283799,0.891290089166719,LARGE
r046s006,1903,0.8213512863669151,MEDIUM
r046s007,2437,0.8989878944234967,MEDIUM
r047s006,712,0.8463768115942029,MEDIUM
r047s009,1031,0.21018766756032173,MEDIUM
r047s017,6014,0.694216275721907,LARGE
r047s018,55118,0.8647607480714672,LARGE
r047s025,7396,0.7109004739336493,LARGE
r047s028,3275,0.5295233843062842,LARGE
r047s040,709,0.8463395012067578,MEDIUM
r047s048,1314,0.4774362328319163,MEDIUM
r048s003,40622,0.910058853696061,LARGE
r048s011,746,0.0,MEDIUM
r048s014,764,0.910212474297464,MEDIUM
r048s020,715,0.7555555555555555,MEDIUM
r048s021,34681,0.8027816625822759,LARGE
r048s028,92374,0.8976114792381615,LARGE
r048s029,348,0.7698863636363636,SMALL
r048s030,141,0.0,SMALL
r048s035,5392,0.7000509498507897,LARGE
r048s039,1265,0.7689848121502798,MEDIUM
r049s004,68,0.4178082191780822,SMALL
r049s007,515,0.7586206896551724,MEDIUM
r049s013,8653,0.8933939182104159,LARGE
r049s016,363,0.3424657534246575,SMALL
r049s018,51,0.0,SMALL
r049s023,9012,0.8950086058519794,LARGE
r049s025,109,0.0,SMALL
r049s026,220,0.3026315789473684,SMALL
r050s003,32,0.0,SMALL
r050s008,122,0.0,SMALL
r050s014,117,0.5595238095238095,SMALL
r052s002,1335,0.8657373440939105,MEDIUM
r052s007,895,0.7220670391061452,MEDIUM
r052s008,114497,0.8998407361528933,LARGE
r052s014,37726,0.9041240097902467,LARGE
r052s026,84629,0.8167451396182044,LARGE
r053s042,15,0.2571428571428571,SMALL
r053s053,2608,0.6384205856255546,MEDIUM
r056s003,870,0.7910976226605969,MEDIUM
r056s008,33759,0.8622610359352579,LARGE
r056s017,1361,0.27384123601491744,MEDIUM
r057s040,97811,0.9359257847248698,LARGE
r057s043,42298,0.9369768989225723,LARGE
r057s046,151197,0.9364067909838961,LARGE
r057s048,679,0.24210526315789474,MEDIUM
r058s051,379,0.4591304347826087,SMALL
r058s054,54701,0.7556360469489144,LARGE
r058s059,11859,0.65051186687627,LARGE
r059s014,6139,0.8128316831683168,LARGE
r059s015,127450,0.8939867773805278,LARGE
r059s017,1881,0.6148384806531771,MEDIUM
r059s018,30572,0.5820062047569804,LARGE
r059s036,7543,0.3709887816331855,LARGE
r059s041,3799,0.4856986700674075,LARGE
r061s005,21461,0.8257871358806351,LARGE
r061s007,9171,0.915359420789519,LARGE
r062s013,130,0.05029013539651837,SMALL
r064s003,20013,0.7585612997674885,LARGE
r067s020,9297,0.0,LARGE
r067s021,7118,0.0,LARGE
r067s034,8361,0.7841337485658089,LARGE
r069s002,16967,0.5437454808387563,LARGE
r069s006,973,0.0775473399458972,MEDIUM
r069s007,3114,0.5354120267260579,LARGE
r069s030,9833,0.6201180293084013,LARGE
r069s031,4387,0.6147553877615227,LARGE
r069s034,1229,0.49925705794947994,MEDIUM
r069s037,6458,0.46808510638297873,LARGE
r069s040,5108,0.6435848886484536,LARGE
r069s043,67749,0.9042740215574385,LARGE
r070s006,19513,0.6808061142064166,LARGE
r071s001,1386,0.6561901111536987,MEDIUM
r071s028,5082,0.856,LARGE
r071s031,1375,0.8573466476462197,MEDIUM
r071s032,2164,0.7491767288693744,MEDIUM
soop0164,32435,0.5806858398079974,LARGE
soop0168,20999,0.7966660878624762,LARGE
soop0251,153284,0.9126543628714887,LARGE
soop0356,139050,0.7977467320125478,LARGE
soop0371,21381,0.9396064546878191,LARGE
soop0375,242078,0.923192358195172,LARGE
soop0556,71350,0.9616524560688852,LARGE
soop0769,5020,0.8444737130940622,LARGE
soop0783,70759,0.9166597619244897,LARGE
soop0894,55103,0.9600409929817819,LARGE
soop0910,0,0.0,EMPTY
soop0968,86026,0.8749933393723024,LARGE
soop1012,1193,0.5241173545499751,MEDIUM
soop1129,292619,0.8993521708240044,LARGE
soop1133,70,0.5614035087719298,SMALL
soop1157,194659,0.8094545766149188,LARGE
soop1166,85742,0.9506973267724784,LARGE
soop1266,367260,0.11220858487329555,LARGE
soop1344,971,0.9009615384615385,MEDIUM
soop1412,93915,0.8330434259231394,LARGE
soop1429,81613,0.7061153283983215,LARGE
soop1458,73865,0.7592767385933665,LARGE
soop1488,1645353,0.5350060790018327,LARGE
soop1532,5078,0.9268921733954965,LARGE
soop1590,3246195,0.9615834160256628,LARGE
soop1737,98433,0.5220043927438379,LARGE
r001s001,89056,0.8034260231175817,LARGE
r001s004,32931,0.8095754944524843,LARGE
r001s005,25816,0.8479730441191955,LARGE
r001s007,3194,0.697268304852189,LARGE
r001s008,1686,0.1532567049808429,MEDIUM
r001s009,6111,0.6100633307815436,LARGE
r001s010,79902,0.8497079566375898,LARGE
r001s015,4796,0.8521012305549106,LARGE
r001s023,12,0.16216216216216217,SMALL
r001s027,966,0.8383838383838383,MEDIUM
r001s034,1947,0.7865168539325843,MEDIUM
r002s002,22301,0.9021187349555518,LARGE
r002s003,2830,0.7626742072308624,MEDIUM
r003s004,99446,0.9113873769418231,LARGE
r003s008,100640,0.9052185400252801,LARGE
r003s009,30391,0.9098126224194415,LARGE
r003s013,5249,0.8502163088727451,LARGE
r004s003,37139,0.3656323560881661,LARGE
r004s024,40006,0.8780812122884705,LARGE
r004s025,16058,0.3788168926612152,LARGE
r005s016,1064,0.8199170124481328,MEDIUM
r005s026,50,0.6615384615384615,SMALL
r005s049,12469,0.8259758364312267,LARGE
r005s076,808,0.5164356435643565,MEDIUM
r005s079,47381,0.9010480825541711,LARGE
r005s080,1287,0.7808667211774325,MEDIUM
r005s081,11133,0.8620017858592418,LARGE
r005s085,3584,0.701509017298491,LARGE
r009s002,329,0.8761904761904762,SMALL
r009s004,75692,0.856626355815983,LARGE
r009s017,1061,0.44005847953216376,MEDIUM
r009s018,335,0.7700170357751278,SMALL
r009s029,6460,0.7327833904903142,LARGE
r009s035,28,0.0,SMALL
r009s043,1042,0.7222523010286952,MEDIUM
r009s044,32368,0.7104693405746578,LARGE
r009s064,5258,0.810596241088788,LARGE
r009s079,64,0.22898032200357782,SMALL
r009s088,12481,0.2508060643479454,LARGE
r009s102,2099,0.8400830737279336,MEDIUM
r009s110,1462,0.4631680308136736,MEDIUM
r009s113,1032,0.23942068341253678,MEDIUM
r009s125,1865,0.7008894536213469,MEDIUM
r010s001,1261,0.531810766721044,MEDIUM
r010s008,839,0.7435897435897436,MEDIUM
r010s009,1255,0.35575679172056923,MEDIUM
r010s011,563,0.7727748691099476,MEDIUM
r010s027,625,0.7728459530026109,MEDIUM
r011s026,67,0.8333333333333334,SMALL
r011s029,4035,0.7972538708735027,LARGE
r011s031,451,0.8004613610149942,SMALL
r014s001,84,0.11789473684210526,SMALL
r015s001,76426,0.8316759120029316,LARGE
r015s003,623432,0.9292299014124231,LARGE
r015s005,109455,0.6350395938923719,LARGE
r015s026,15671,0.5467078368269983,LARGE
r017s105,963,0.706021251475797,MEDIUM
r017s118,446,0.8199608610567515,SMALL
r017s119,15932,0.5295566024932628,LARGE
r018s007,55946,0.7239300253053141,LARGE
r019s008,1938,0.6921322690992018,MEDIUM
r019s009,11627,0.8045042452151389,LARGE
r023s001,10366,0.07051830045008067,LARGE
r024s001,1471,0.8229012162563037,MEDIUM
r024s005,38014,0.9192241143793826,LARGE
r024s006,835,0.6475349521707138,MEDIUM
r027s001,1716,0.8055200613340148,MEDIUM
r027s006,268,0.8715277777777778,SMALL
r027s012,601,0.8249134948096886,MEDIUM
r027s014,61385,0.9133117383927194,LARGE
r027s015,2687,0.8444299034843775,MEDIUM
r027s047,9924,0.8839120797931289,LARGE
r027s048,105192,0.859557473548729,LARGE
r027s053,203053,0.9279260693638909,LARGE
r027s057,107487,0.9443456046713198,LARGE
r028s001,61007,0.8902771366025822,LARGE
r028s010,54117,0.8652718949214906,LARGE
r028s011,300,0.07657657657657657,SMALL
r029s003,47646,0.8861671625642413,LARGE
r031s004,2614,0.46495956873315364,MEDIUM
r031s016,1880,0.9174458990114881,MEDIUM
r031s023,539,0.8380952380952381,MEDIUM
r031s030,21970,0.7617365603993584,LARGE
r031s033,35611,0.870224702425124,LARGE
r032s014,2737,0.6897663174858985,MEDIUM
r032s018,209,0.7407407407407407,SMALL
r032s020,23959,0.8681679459909368,LARGE
r032s030,64864,0.8992145860297606,LARGE
r032s043,67282,0.9090896515472189,LARGE
r032s046,92891,0.9093051527043167,LARGE
r032s048,5700,0.7611259859613575,LARGE
r034s010,164,0.8010899182561307,SMALL
r034s011,5575,0.8046082949308756,LARGE
r034s012,1532,0.07646356033452807,MEDIUM
r034s039,46404,0.8476163912325965,LARGE
r034s046,783,0.5052034058656575,MEDIUM
r035s002,10796,0.8175977880783931,LARGE
r035s005,4277,0.7522812409951013,LARGE
r035s012,98437,0.7093063757057342,LARGE
r038s005,88451,0.8521921300386178,LARGE
r038s006,1234,0.7544449783757808,MEDIUM
r038s015,14812,0.9050789827867111,LARGE
r038s017,46165,0.7445399212316506,LARGE
r038s022,28091,0.8381800077221646,LARGE
r038s028,34131,0.8254587270636469,LARGE
r038s029,21023,0.5707298829080238,LARGE
r038s031,2760,0.4163600952174854,MEDIUM
r038s039,16452,0.8359661205709095,LARGE
r038s040,27075,0.8001452901767697,LARGE
r038s044,1013,0.15873015873015872,MEDIUM
r038s049,93776,0.779649977686379,LARGE
r038s063,43822,0.7370466321243523,LARGE
r038s070,9176,0.8855523748320383,LARGE
r038s073,1617,0.036214953271028034,MEDIUM
r038s078,181833,0.8980664963462403,LARGE
r038s083,1205,0.726207906295754,MEDIUM
r038s091,4447,0.8261983168679107,LARGE
r038s092,52608,0.844258998592399,LARGE
r038s093,589,0.08270202020202021,MEDIUM
r038s094,1169,0.5857212238950947,MEDIUM
r040s005,2965,0.6911130284728214,MEDIUM
r040s006,23006,0.5779617634768074,LARGE
r040s013,2906,0.8335035750766088,MEDIUM
r040s014,271,0.0713489409141583,SMALL
r040s017,749,0.6105610561056105,MEDIUM
r040s020,17132,0.7994136330320059,LARGE
r040s031,185045,0.9078936889172061,LARGE
r040s032,102970,0.7224961937170552,LARGE
r040s038,16943,0.8196145992853496,LARGE
r040s044,190818,0.9362881485043139,LARGE
r040s050,86213,0.6441058065922771,LARGE
r040s051,121,0.5302325581395348,SMALL
r040s053,98757,0.8396436145715471,LARGE
r040s061,289688,0.7961086257029718,LARGE
r040s066,385,0.8191330343796711,SMALL
r040s073,4229,0.8268006700167504,LARGE
r040s077,21172,0.8559804719283971,LARGE
r040s081,122334,0.882063706339344,LARGE
r042s002,5211,0.7401591974702868,LARGE
r042s005,506,0.5971685971685972,MEDIUM
r042s012,24646,0.6855747183730435,LARGE
r042s018,128616,0.9235593349634037,LARGE
r042s029,29186,0.8308243326431249,LARGE
r042s031,17997,0.8377320833005069,LARGE
r042s033,9102,0.8038969917958068,LARGE
r042s035,6644,0.43085941589029625,LARGE
r042s036,419,0.6961325966850829,SMALL
r044s003,34602,0.7599658661465317,LARGE
r045s002,9067,0.8496368588288697,LARGE
r046s009,133753,0.8957010789543557,LARGE
r047s002,83603,0.9240971766250821,LARGE
r047s010,17670,0.40620725437479366,LARGE
r047s027,13404,0.8768629272635776,LARGE
r047s032,194121,0.9403980435061081,LARGE
r047s035,85705,0.8541804656850257,LARGE
r047s037,34646,0.8624661246612466,LARGE
r047s039,5772,0.4004000666777796,LARGE
r047s042,7117,0.5207265433474482,LARGE
r047s043,1744,0.3451872925557136,MEDIUM
r047s044,21024,0.8434530359107733,LARGE
r048s002,247886,0.920418932620518,LARGE
r048s004,48491,0.9096099153084891,LARGE
r048s005,5574,0.9148187258007744,LARGE
r048s009,94041,0.8311239969035633,LARGE
r048s013,5710,0.6528886801315171,LARGE
r048s018,81789,0.9243091896548713,LARGE
r048s027,1495,0.7491143317230273,MEDIUM
