epoch,train_loss,val_loss,mean_fg_dice,ema_fg_dice,lr,epoch_time_s,instance_alpha,instance_raw_loss
0,-0.4436635673046112,-0.5025897026062012,0.7878975868225098,0.7878975868225098,0.01,250.43746876716614,0.06,0.9557379484176636
1,-0.40806102752685547,-0.392544150352478,0.7548821568489075,0.7845960259437561,0.00996399278941777,243.26636171340942,0.12,0.841148853302002
2,-0.34235522150993347,-0.3931300640106201,0.7759791016578674,0.7837343215942383,0.009927971115163414,248.82244992256165,0.18,0.8236784338951111
3,-0.2975522577762604,-0.315757155418396,0.7707034945487976,0.7824312448501587,0.00989193491307027,247.09204173088074,0.24,0.7348690032958984
4,-0.272756963968277,-0.2628270387649536,0.7666559815406799,0.7808536887168884,0.009855884118426006,248.72578310966492,0.3,0.6841155290603638
5,-0.23373045027256012,-0.20579515397548676,0.7426474094390869,0.7770330905914307,0.009819818665965752,239.3351800441742,0.36,0.8134186267852783
6,-0.14890769124031067,-0.19499750435352325,0.7497738599777222,0.774307131767273,0.009783738489865112,235.99059987068176,0.42,0.7400827407836914
7,-0.12503497302532196,-0.22617147862911224,0.7623278498649597,0.7731091976165771,0.009747643523733043,235.96648502349854,0.48,0.1823607087135315
8,-0.13973966240882874,-0.1276446282863617,0.7501673698425293,0.7708150148391724,0.009711533700604631,235.18574118614197,0.54,0.5896532535552979
9,-0.0722450390458107,-0.046381622552871704,0.7619227170944214,0.7699257731437683,0.009675408952933734,236.39227962493896,0.6,0.8879770040512085
10,-0.0337282195687294,-0.047700997442007065,0.6876001358032227,0.7616932392120361,0.009639269212585509,235.30265164375305,0.6,0.6887341737747192
11,-0.017977047711610794,-0.10928930342197418,0.7313491702079773,0.758658766746521,0.009603114410828804,235.80310463905334,0.6,0.7474039793014526
12,-0.09277284890413284,-0.08687791973352432,0.7540956139564514,0.7582024335861206,0.009566944478328421,236.81984972953796,0.6,0.3823760449886322
13,-0.11523643136024475,-0.05402557551860809,0.7430573105812073,0.7566878795623779,0.009530759345137247,235.61561727523804,0.6,0.8259730339050293
14,-0.09063705801963806,-0.14889422059059143,0.7469475865364075,0.7557138204574585,0.009494558940688246,235.70831656455994,0.6,0.8719004392623901
15,-0.10132754594087601,-0.07252006232738495,0.7597437500953674,0.7561167478561401,0.009458343193786321,236.35339736938477,0.6,0.5642484426498413
16,-0.10763776302337646,-0.14840054512023926,0.7542158961296082,0.7559266090393066,0.009422112032600018,235.51661801338196,0.6,0.4572345018386841
17,-0.10074954479932785,-0.15748968720436096,0.7853295207023621,0.7588668465614319,0.009385865384653105,236.0363392829895,0.6,0.5511026382446289
18,-0.1654609590768814,-0.1321478635072708,0.743484616279602,0.7573285698890686,0.009349603176815975,234.87958121299744,0.6,0.6533799171447754
19,-0.15350668132305145,-0.20960766077041626,0.8142242431640625,0.7630181312561035,0.009313325335296928,236.14415287971497,0.6,0.7729417085647583
20,-0.12836679816246033,-0.09901928156614304,0.7277591228485107,0.7594922184944153,0.009277031785633282,236.22493481636047,0.6,0.7572896480560303
21,-0.1322498917579651,-0.117167167365551,0.7978673577308655,0.7633296847343445,0.00924072245268232,236.2804934978485,0.6,0.5979366302490234
22,-0.1364225149154663,-0.14207440614700317,0.7827169299125671,0.7652683854103088,0.009204397260612089,234.7912003993988,0.6,0.44828349351882935
23,-0.11171520501375198,-0.12371830642223358,0.7787202000617981,0.7666135430335999,0.009168056132892021,236.198979139328,0.6,0.7736141681671143
24,-0.09971058368682861,-0.10319849103689194,0.7696737051010132,0.7669195532798767,0.009131698992283397,236.15136098861694,0.6,0.8199169635772705
25,-0.10350286960601807,-0.07209796458482742,0.744278609752655,0.7646554112434387,0.009095325760829623,236.7818319797516,0.6,0.5979564785957336
26,-0.10577698051929474,-0.10295402258634567,0.7958232164382935,0.7677721977233887,0.009058936359846346,235.6301510334015,0.6,0.7030893564224243
27,-0.11478839069604874,-0.11475586146116257,0.7605453133583069,0.7670494914054871,0.009022530709911372,236.25411558151245,0.6,0.4214860498905182
28,-0.062427569180727005,-0.21088513731956482,0.798213005065918,0.7701658010482788,0.008986108730854411,236.21002173423767,0.6,0.361650288105011
29,-0.07805976271629333,-0.15567773580551147,0.7628055810928345,0.7694297432899475,0.008949670341746629,235.70489597320557,0.6,0.7064060568809509
30,-0.12901891767978668,-0.10269370675086975,0.7449690699577332,0.766983687877655,0.00891321546089,236.94833612442017,0.6,0.19924253225326538
31,-0.15370836853981018,-0.2017957866191864,0.7930616736412048,0.7695915102958679,0.008876744005806469,235.36636996269226,0.6,0.7513402104377747
32,-0.1230611577630043,-0.04181049391627312,0.7173289656639099,0.7643651962280273,0.008840255893226907,236.8290627002716,0.6,0.6350530385971069
33,-0.1137998029589653,-0.11907627433538437,0.7235257625579834,0.7602812647819519,0.008803751039079861,235.21276783943176,0.6,0.5305306315422058
34,-0.13159576058387756,-0.0681053176522255,0.8086860775947571,0.7651216983795166,0.008767229358480086,236.53636407852173,0.6,0.9476407766342163
35,-0.13976892828941345,-0.18642379343509674,0.8074818849563599,0.7693576812744141,0.00873069076571686,236.14681601524353,0.6,0.6056860685348511
36,-0.17364385724067688,-0.16035515069961548,0.8306583166122437,0.7754877209663391,0.008694135174242088,239.93274903297424,0.6,0.905295193195343
37,-0.1455870419740677,-0.1842411458492279,0.8137760162353516,0.7793165445327759,0.008657562496658165,245.64965796470642,0.6,0.7041928768157959
38,-0.17608429491519928,-0.15687055885791779,0.8100275993347168,0.7823876142501831,0.008620972644705602,247.47815537452698,0.6,0.894230842590332
39,-0.18556953966617584,-0.14450760185718536,0.74970543384552,0.7791193723678589,0.00858436552925043,248.35580110549927,0.6,0.6267721652984619
40,-0.17492464184761047,-0.1264127641916275,0.7569579482078552,0.7769032120704651,0.008547741060271343,247.63038444519043,0.6,0.9019567370414734
41,-0.15343265235424042,-0.15254749357700348,0.7918087244033813,0.7783937454223633,0.008511099146846599,249.77775025367737,0.6,0.8730392456054688
42,-0.15215444564819336,-0.16057820618152618,0.7574489116668701,0.776299238204956,0.008474439697140658,247.9424660205841,0.6,0.7042855024337769
43,-0.16398657858371735,-0.13245581090450287,0.7692320942878723,0.7755925059318542,0.008437762618390562,249.1979374885559,0.6,0.5814447402954102
