epoch,train_loss,val_loss,mean_fg_dice,ema_fg_dice,lr,epoch_time_s,instance_alpha,instance_raw_loss
0,-0.4428659677505493,-0.451924204826355,0.7062367796897888,0.7062367796897888,0.01,255.9888789653778,0.06,0.39421001076698303
1,-0.42637330293655396,-0.3438236713409424,0.730768084526062,0.7086898684501648,0.00996399278941777,246.06781125068665,0.12,0.41002997756004333
2,-0.32899975776672363,-0.22886861860752106,0.6495320200920105,0.7027740478515625,0.009927971115163414,245.62365913391113,0.18,0.5270779728889465
3,-0.3248053789138794,-0.22312518954277039,0.6869674921035767,0.7011933922767639,0.00989193491307027,246.15953135490417,0.24,0.4793318808078766
4,-0.24546770751476288,-0.2848752439022064,0.7597503662109375,0.7070490717887878,0.009855884118426006,244.54892253875732,0.3,0.773054838180542
5,-0.2355945110321045,-0.2465193122625351,0.7133111953735352,0.7076752781867981,0.009819818665965752,239.87435102462769,0.36,0.4256519675254822
6,-0.1765185296535492,-0.17075574398040771,0.7126365303993225,0.7081714272499084,0.009783738489865112,239.5727891921997,0.42,0.7826064229011536
7,-0.1653449386358261,-0.09132399410009384,0.7364189624786377,0.710996150970459,0.009747643523733043,239.67281579971313,0.48,0.5154485702514648
8,-0.14567574858665466,-0.112303726375103,0.7179006934165955,0.7116866111755371,0.009711533700604631,237.495867729187,0.54,0.6705532073974609
9,-0.11135329306125641,0.05184384807944298,0.5559906363487244,0.6961170434951782,0.009675408952933734,240.31063604354858,0.6,0.5212980508804321
10,-0.08413689583539963,-0.13160976767539978,0.7912514805793762,0.7056304812431335,0.009639269212585509,238.09364795684814,0.6,0.5910065174102783
11,-0.06440874189138412,-0.03173614665865898,0.7793363928794861,0.713001012802124,0.009603114410828804,239.59402418136597,0.6,0.4984806478023529
12,-0.08147186040878296,-0.1266542375087738,0.7883533835411072,0.7205362319946289,0.009566944478328421,237.53907299041748,0.6,0.4876088500022888
13,-0.10733410716056824,-0.04390396177768707,0.7201790809631348,0.7205005288124084,0.009530759345137247,238.65997409820557,0.6,0.7896312475204468
14,-0.12678639590740204,-0.12146738916635513,0.7631618976593018,0.7247666120529175,0.009494558940688246,239.8326051235199,0.6,0.7962141036987305
15,-0.08339740335941315,-0.09253294765949249,0.688087522983551,0.7210986614227295,0.009458343193786321,239.07501196861267,0.6,0.8699224591255188
16,-0.12494552135467529,-0.14191967248916626,0.7858682870864868,0.7275756001472473,0.009422112032600018,238.81553387641907,0.6,0.6753747463226318
17,-0.11177705228328705,-0.10334198921918869,0.7257054448127747,0.7273885607719421,0.009385865384653105,239.57389640808105,0.6,0.6448342204093933
18,-0.1538577526807785,0.008272076025605202,0.734969973564148,0.7281466722488403,0.009349603176815975,239.099684715271,0.6,0.24201378226280212
19,-0.13606788218021393,-0.09349031746387482,0.7736936211585999,0.732701301574707,0.009313325335296928,239.5765769481659,0.6,0.952690839767456
20,-0.14771360158920288,-0.08620241284370422,0.7033208608627319,0.7297632694244385,0.009277031785633282,236.29622101783752,0.6,0.765326738357544
21,-0.10920421779155731,-0.08090813457965851,0.806980311870575,0.7374849319458008,0.00924072245268232,238.20949125289917,0.6,0.5050204396247864
22,-0.10454437136650085,-0.07096359878778458,0.7446756362915039,0.7382039427757263,0.009204397260612089,239.11450362205505,0.6,0.7000840902328491
23,-0.1399860978126526,-0.0760568305850029,0.7049845457077026,0.7348819971084595,0.009168056132892021,238.6354784965515,0.6,0.8233375549316406
24,-0.11522216349840164,-0.10737254470586777,0.7365305423736572,0.7350468039512634,0.009131698992283397,238.49535632133484,0.6,0.34841188788414
25,-0.15156646072864532,-0.16315563023090363,0.7856940627098083,0.7401115298271179,0.009095325760829623,237.77184057235718,0.6,0.7798289060592651
26,-0.11395545303821564,-0.051813703030347824,0.7434772253036499,0.7404481172561646,0.009058936359846346,238.34187126159668,0.6,0.13380905985832214
27,-0.16334888339042664,-0.08279087394475937,0.7458107471466064,0.7409843802452087,0.009022530709911372,238.77749919891357,0.6,0.37858521938323975
28,-0.1370033323764801,-0.09086466580629349,0.7580180168151855,0.7426877021789551,0.008986108730854411,238.7638304233551,0.6,0.5544093251228333
29,-0.1755707710981369,-0.23109464347362518,0.8418675065040588,0.752605676651001,0.008949670341746629,237.93312525749207,0.6,0.5549149513244629
30,-0.2164575308561325,-0.1983339488506317,0.7956056594848633,0.7569056749343872,0.00891321546089,237.91652154922485,0.6,0.5590640306472778
31,-0.18084119260311127,-0.09658241271972656,0.7331233024597168,0.7545274496078491,0.008876744005806469,236.44733357429504,0.6,0.48116472363471985
